text,label,id
【😂狗咬狗一嘴毛：王岐山😆與習近平鬧翻的具體證據】十八大前😐爆料習家財富...😇郭文貴：這一切都是王岐山系統在主導。20200101，信傳媒：⏩美國華人牧師郭寶勝遭郭文貴控告詐欺案，在最後一庭，經過四天的辯論，維吉尼亞州法院在12月20日判決郭寶勝詐欺案成立，並且至少三項誹謗指控敗訴，郭寶勝反告郭文貴僅有一條成立，本案不得上訴。郭文貴在直播中說，郭寶勝以牧師為名詐騙他人捐款多年，終於詐欺罪成立，而此判例也引起其他美國華人打算對郭寶勝提出告訴。⏩郭文貴直指，郭寶勝提出訴訟背後的金主，就跟羅傑·史東（RogerStone，入獄）在媒體上刻意誣陷郭文貴的金主同一人，已向美國司法部登記為中國政府代理人的吳征，吳征的背後，則是國家副主席王岐山、孟建柱，以及過去幾年他們發起一系列提供習近平家族假材料給各個媒體的行動。⏩2012年11月中共中央十八大開會前，當年6月彭博社記者傅才德（MichaelForsythe）發表了一篇「習近平家族的財富」，郭文貴在先前直播時曾指出，傅才德當時的上司、也是該篇報導真正操刀的人，就是現今美國之音台長阿曼達（AmandaBennett），就是419郭文貴接受美國之音直播訪問突然下令斷播的人。⏩「傅才德親口告訴我，他們被叫去，中國政府出面施壓你們不能報導習家財富。」郭文貴說，傅才德報導的理由不是因為他們專業，而是因為有人讓他們報導，王岐山在香港三個代理人女性中，其中一位姓傅的，在香港親手將習文件交給了傅才德。⏩彭博社與王岐山交好，十八大前爆料習家財富這個女人是誰？郭文貴指出，是王岐山在廣東當副省長時，協助省委書記李長春處理廣國投、粵海等國有企業資不抵債的事件時的重要人士，這個女的感情最好的聯絡人就是中國媒體《財新》的胡舒立，而胡舒立在美國媒體最好朋友之一就是美國之音現在台長阿曼達。「我這些都有錄音的，有一天會拿出來給大家。」⏩郭文貴曾指出，《財新》的社長胡舒立，就是王岐山的女人之一，而她的報導，也多次爆料習近平，但對海南航空、王岐山家族掏空國庫、洗錢隻字不提，去年發生海南航空CEO王健被謀殺，《財新》第一時間發訊息說是死因是腳痛。⏩還有，因計畫出版「習近平與他的情人」一書，導致2015年10月起銅鑼灣書店主要股東一系列的遭到綁架、失蹤事件，「銅鑼灣書店的訊息全部都是西諾，即熊憲民所提供。」郭文貴口中的熊憲民是紐約華人媒體《博訊網》記者，筆名西諾，曾向美國尋求政治庇護遭到拒絕，他過去出入境資料多為假訊息，並且《博訊網》還收了吳征46萬美元，已反遭美國情報部門調查。⏩王岐山再餵習家材料，導致銅鑼灣書店五人被綁架不論是曾為川普競選團隊的羅傑·史東（RogerStone）或者把習家材料給銅鑼灣書店的熊憲民，背後都是吳征，郭文貴指出，吳征和《財新》的社長胡舒立，背後都是王岐山、孟建柱。⏩也因此，郭文貴說，郭寶勝、西諾這些華人媒體共同的特色是反習近平，但和其他西方媒體對習近平或對中國的批評不同，他們完全不會去談國家副主席王岐山的貪腐、敏感的海航集團、王岐山在海外資產等，並力挺香港政府對抗議者的暴行。⏩他接下來要開始向法院追究郭寶勝的背後金主是不是吳征，就跟當年他因告贏羅傑·史東（RogerStone）一樣，咬出背後金主是吳征，但從《彭博社》當年報導習近平家族財富、到銅鑼灣書店要寫習近平的情人等，可以看出王岐山與習近平之間的鬥爭沒有停過。https://www.cmmedia.com.tw/home/articles/19256http://futurewu007.blogspot.com/2020/01/20200101.html,0,12
說那麼多屁話？打嘛，看看美國人的命會不會送給你台灣，伊朗回擊完都不敢再回過去，還敢為台灣喪命美軍？都是嘴上的風大，中國🇨🇳不打的原因還是因為台灣人是同根同族，你宣布台獨試試？你美國🇺🇸牛逼，敢住軍台灣試試？中國🇨🇳軍隊不打隻是不想傷害同胞，真打起來要你好看，你們美國🇺🇸爹隻是抗議之類，哈哈哈,-1,13
@menglang台灣可不是國呢，你這是說美國呢？,0,14
被美國當槍使，還那麼驕傲，真的丟人,-1,15
。。別妄想美國會放過中共。他們正盯著你看,1,16
不要臉的東西你們台灣不吃野味嗎，隻不過我們倒霉感染了，我還懷疑是不是你們台灣人替美國在大陸傳播的病毒呢，我還懷疑大陸吃野味是不是台灣人背後攛掇的呢不要臉的東西抓14億人的出點事情就抓住放大。,-1,17
大哥，F16單價1.2億刀啊，以成本價三四倍的價格賣出去，冤大頭們還高興的不得了，“美國爸爸沒有忘記我們”，人心和錢都血賺了，哪裡會沒有市場,-1,18
"時間到了2030年度.中國將有4艘航空母艦服役,其中CVN20.CVN21.為核子動力航空母艦與戰鬥群,具有絕對的優勢軍力,進行台灣海峽南與北及四周圍的全面戰略海空封鎖能力,斷絕一切台灣的外援,尤其是石油與天然氣的戰略物資,也無懼於美國太平洋第七艦隊的挑釁,台灣方面屆時已完全失去自我防衛及攻擊能力,即使美國派遣航空母艦戰鬥群馳援,已無繼於事,美國艦隊隻能在台灣省宜蘭縣,花蓮縣,台東縣外海的太平洋巡弋,虛張聲勢,虛有其表的虛應故事,以慰台灣人而已,隻是營造美軍可能要協助台灣,抵抗中國,美國人絕對不會為台灣而戰,因為不符合美國國家利益,",-1,19
蔡英文打韓房=川普-烏克蘭打彭斯，應受彈劾?同樣動用國家機器打擊對手。,-1,20
樂見台美建交！然後台灣敘利亞化，天天狂轟濫炸，天天拉鋸戰，鳥島成屠宰場。今天統派佔領全台，明天獨派轟平統派，後天中國蕩滌台獨，最後美國核平台灣，台灣宣布獨立！耶！台灣成功獨立了！,-1,21
哎你們怎麼不譴責美國呢？最爛的節目,-1,22
白痴主持，美國為何要打壓共交？都是因為石油。他們要所有美國人用石油。這都是資本家計劃的。,-1,23
"想跟這留言板上的大陸同胞說說我的心聲:這是我有感而發回復一個同胞的文,請各位不要再被冥黨現在的所作所為情緒左右思考:其實有遠見有歷史情懷使命的人，都會理解到中華文化淵遠流長，國共的過去血淚愛恨情仇終讓兩岸中國人分久必合，這是斬不斷的血脈，隻是台灣這2-30年因為民主制度的不成熟逐步摸索選舉出日本後代的李登揮後再來一個陳水扁將中華民國內部族群撕裂達到鞏固權力目的又因內政不彰貪汙腐敗而換上馬但馬被那群嗜權的人運用媒體操作就像現在的韓一樣打到黯然下台，而西方為主的美國怕大陸崛起，不斷與冥黨配合或操作也是一大原因，造成兩岸互信流失薄弱，希望韓如能當選將台灣帶回歷史正軌的中華民國，無懼的重建兩岸互信，讓台灣不再內耗，重振人民安居樂業，人民有安全感，不再被恐中，兩岸那時自會水到渠成",-1,24
@酷酷的畢畢哥哥哪個國家或地區的環境最不安定??看那個地方的軍備水瓶就知道了現在全世界武裝最強大的國家除了美國、俄羅斯以外就是中共國旁邊這一圈國家....全世界戰亂的國家，用的是誰的軍火??又是誰在援助恐怖組織?哎呀，又是中共國耶~,0,25
什麼都間諜你用臉書youtube要不要抨擊一下美國間諜的？哦對了臉熟最近正好被曝泄露隱私了md台灣人是有多自卑,-1,26
主持人，來賓們你信美國說的？，不須進去也知道，衛星清清礎，就算開放參觀半天，也弄不出情報吧！真。蠢丶這也能談！！！,-1,27
電視中的台灣節目也愚蠢的很，訪問美國的情報人員，他們探究他國，利用輿論就可以煽動別人,-1,28
美國玩這些虛的有個屁用。你保証大陸打灣灣的時候你出兵援助。比什麼都重要。,-1,29
董教授我問一下。。美國是你爹嗎？,-1,30
中國和韓國自貿區第二階段協議馬上就要開始了，如果中日韓自貿區成形加上RCEP，台灣就算政治獨立，經濟可以獨立，除非美國歐洲給台灣簽自貿區，不然台灣未來沒希望。,0,31
台灣是美國人的狗，並且還得自己掏錢買狗糧。井底之蛙隻會觀天意淫。,-1,32
2019年看笑死我了，“美國絕對不可能干涉別的國家內政”哈哈哈哈,-1,33
這個說流感有藥的議員你要不要去問問柯P？台灣什麼時候這麼牛逼有美國沒有的藥？感冒病毒靠代謝這麼簡單的知識都不知道呢我也是醉了,0,34
"美國向來都是低估自己實力,高估對手實力,說實話,美國跟幾十個國家軍事同盟,美國如跟俄中開戰,其他國家也會跟著參戰,簡言之,就是第三次世界大戰..美國加上諸多盟國絕對大勝俄加中..!",1,35
"德國<商報>在中美爭端中保持中立,將意味著在夾縫中被擠得粉身碎骨,而選邊站則又意味著需要長期放棄另一方。有鑑於此,第三條道路隻能是,自信地走自己的路,建立起自己的標準。雖然我們現在距離這一目標還很遙遠,但這並不意味著我們無法實現這一目標。--卡爾-湯瑪斯·瑙曼,歐寶公司前總裁<德新社>摘譯https://tinyurl.com/sczvahq",0,36
有藥你還讓老美死了6600人？！台灣人就這智商？,0,37
"18:54,黃光芹提到的張育美，也一定要留意，相信光芹是很敬業的，不會胡亂挖料報道的，光芹加油！23:39,另外，請大家注意重點哦，聽聽這部分，高鈺婷還有黃創夏講出來的重點，新黨每年拿納稅人２０００多萬，還要不要當傻瓜呢，創夏提醒關鍵，絕對不能讓新黨過５％，不然到時政黨協商，代理法永遠都沒有機會通過，這是國家安全的部分。所以隻有團結，團結就是力量，大家加油！28:29,呂惠敏代班主持，聽聽她念出這一段，贊！31:09,范老師提到的無奈和憂慮，美國對於所謂的代理人，都查的非常仔細，資金的往來甚至企業，在美國所受到的限制比台灣還要多，OMG!　那是不是應該跟進或說更多呢，那如果國家做不到，那是什麼原因被卡到呢。所以需要大家投給蔡英文，才可以立法守護台灣，這樣對吧，台灣人是時候團結了，團結就是力量39:59,再聽聽呂惠敏代班主持這一段，吳斯懷臉書聲援連戰2015在北京參加中國９３閱兵",0,38
吳崢是個雜碎。死樣好討人厭。在美國混不下去，跑到台灣混飯吃。,0,39
川普講話就是“屁”話，全憑心情，“說變就變”、毫無誠信。,-1,40
@huizhang中國和美國已經打了20個月的貿易戰。現在的經濟成長率大概是6%。這個世界有沒有另一個國家，可以和美國的20個月的貿易戰，經濟成長率維持在六左右。現在中國所有遇到的麻煩都和美國有關系。台獨也好，港獨也好，都和美國有密不可分的關系。我們現在要做的就是提升自己的實力，穩住他們就夠了。,-1,41
你還真想信這騙子啊？他要是間諜早就被美國先領走了。人都走了好幾個月了，連屁都沒放過。我說我是間諜你也信嗎？打錢我給你絕密哦。,0,42
@BosshTsai正在抓，美國澳洲也會協助台灣剿匪！……你怎麼氣急敗壞呢？是不是怕，我們把向心夫妻移交給美國？,1,43
在中國共產黨的歷史上，就沒有對惡勢力低下過頭，還有你們不要動不動就說假如我是習近平？如果中國領導人有你們那麼弱智，我們還怎麼樣在這個世界立足，我們還對抗美國？你們就是一堆傻逼領導，快點統一吧，好撥亂反正。,-1,44
中華若要統一復興，現狀唯有武統一條路，中國大陸是核大國，世界上有哪個國家願意犧牲自己利益，為了保衛台灣而戰？美國會趁機把過時的武器，破銅爛鐵賣給呆灣。大賺一筆,-1,45
民進黨和台獨本來就是美國的看門狗,-1,46
這個夾克衫是美國的潮牌HUF....H是LOGO。,0,47
從嘉賓的講話來看，美國霸權主義強權政治有多麼可怕。政治玩法就是不讓一方強大，要形成力量均衡。台灣看清楚一點吧。,-1,48
1.各位來賓包括主持人都不能拖稿發言甚至讀稿子都斷斷續續的…………認真的嗎？2.中國航母的確不如美國，但中國做了多少後來居上的事情？自主研發核武器氫彈北斗系統ecc3.各位來賓屢屢講到美國人或是其他西方國家比中國強的時候都流露出一股得意洋洋的感覺尤其是黃教授啦不是很理解是什麼心態啦,-1,49
"一開始會說""因為中美貿易""所以台商回來投資....不就是要告訴人民..大陸環境不好...錢從大陸回來了嗎?....否則提""中美貿易戰""幹嘛呢?....直接說""台商增加台灣投資""就好了......為什麼民進黨的人硬ㄠ每次都好像很自然一般....民進黨真的沒救了...沒幾個人敢出來說真話的..........",0,50
如果中國不是地域遼闊、人口眾多，加之近來大陸走向強盛引起歐美列強恐懼，台灣什麼都不是，台灣就是一顆被用作制衡大陸走向強盛的棋子！台灣人生活在這麼一個小島上，島民的心態十足，自我感覺自己什麼都好，自詡的民主，我看這個民主大陸不要也罷，在我看來台灣的民主就是兩黨惡斗。台灣人常說大陸獨裁沒有民主自由，大陸固然有他自身存在的問題（歐美國家哪個沒有？），但你們去大陸問問普通平民百姓，問他們現在過的好嗎，我敢說絕大部分會說好。被洗腦？我看台灣普通百姓才被洗腦了，顧主權，歷史上台灣是中國的，今天世界上99%以上的國家承認是中國的，台灣將來也是中國的！是中國的顧什麼主權？獨立給你們一百個膽你們也不敢！我是一介平頭百姓，我制訂不了大陸對台政策，假設一下我能，我一定要實施窮台政策，當台灣百姓民不聊生時再講民主顧主權吧！,0,51
昨天看到美國脫口秀主持人說：台灣是中國叛離的一個省份不能算是一個國家還說台灣沒有總統！這是個show還是真的這麼認為呢？,0,52
美國，歐盟，表面不和啦。川..死黨..老婆最愛..法國...跟香港一樣，火燒屁股，火攻，暴動，還好沒燒到名店？跟香港相似，名店安全。法國比香港有人權，自由，民主？老美消化好，不放屁。😃😁😄,-1,53
就這麼說吧既然台灣這麼民主咱們就說民主我們也全民公投同意統一的應該80%估計按照民意是不是應該抓緊統一的台灣民主不願意統一的也公投打一仗就解決了美國要來幫第一總統敢不敢讓他人民兵死在這戰爭上，第二台灣人慫不慫敢不敢干一架,-1,54
跪出百萬票要看什麼人跪好嗎？不然隨便找個東施當西施跪，你們說這個能看嗎？而已要跪之前還要營造一些氣氛好嗎？韓自己都說選情隻差3%了，就算他用悲情再跪票，有點不太喜歡他的人會想，萬一投他讓他當選了怎麼辦？畢竟中間選民是跟所有黨沒什麼關係的，所以投票更在乎個人是否喜歡或厭惡的感情的！還有台灣家庭都是非常重視教育的，所以某些黨的立委名單一直在做踩紅線沒事，沒事多踩紅線的傻事，我都快被氣哭了好嗎？某黨應該先抓住一個理由再去踩紅線，比如中美經濟戰會影響台灣在亞太地區的經濟布局之類，說我是為了台灣經濟發展好才踩紅線的，然後某反什麼法也可以說是中美貿易戰什麼什麼的一類，我朋友秦慶剛爆揍了石志樂，讓人感覺腦袋都升級了！,0,55
楊實秋其實是國民黨的救火員一檢討國民黨立刻拉上民進黨一起混肴事實轉移焦點沒看他為香港人或台灣本土說過半句話動不動就拿上個世紀左派親中學者的話打美反美他十足是個角色扮演者而且喜歡自我澎風動不動就吊書袋用誰說過什麼什麼的跳脫主題很討厭這種高級滯台中國人,1,56
在美國，群眾人數在集會上，決定了選舉結果，韓國瑜的人數規模超過了蔡，因此，他是台灣的下一任總統，除非蔡能給他兩枚真正的子彈。那是一個已定的結論。政治民意測驗已經死了，沒人相信。,0,57
對中共和習近平抱有任何好的想法，就完蛋！一切都是“零”而已！川普總統還是太善良,1,58
@王D793我的後代不會是美國人，也不會是日本人，我不會教他追美捧日，我的後代一定是中華民族，共產黨的黑歷史不可否認，自古以來多行不義必自斃，得民心者得天下，他如果往後繼續倒行逆施，相信中華民族也是會繼續推翻共產黨的，再來庶民與權貴是口號又如何，執政黨酬庸治國是事實，吃相難看也是事實，不要鴕鳥心態。,0,59
"美駐伊拉克使館除夕危機！萬人圍攻美使館,真正是「一級美麗風景線」,死老美自作自受....活該...",-1,60
要讓美國看清楚了，你最好別惹底線，不然就互相毀滅,-1,61
川普是美國史上最有正義感的總統不畏中國的施壓，力挺香港人民的民主自由！👍讚！,1,62
你要是玩民意，台灣的民意如果是台獨，大陸的民意就是統一，並且沒有兩制！所謂一國兩制，是中國精英階級以及親台政客做出來的，大陸現在很多人對政府在香港一國兩制問題上太鬆已經極不滿意，因此對台灣一國兩制的未來存疑且排斥。國台辦因為給台灣的政策福利太多，被很多人諷刺為跪台辦，台灣最好不要一直拿民意說事，因為個體素質水平不同，你無法保証每個人民都能做出理智符合集體利益的決策，現在和平統一，一國兩制，大陸鷹派也就認了，隻要統一就好，如果一直拖，拖到中國國力足夠無視美國干擾，拖到大陸人民忍無可忍，那時候就是你們所謂的民意逼著大陸政府武統了，政府可以操縱民意，也可能被民意綁架。歷史的時代的種種因素，導致從人民到學者到政客，大陸的鷹派越來越多，台灣人聰明點，現在談條件統一是最好的選擇，邏輯很簡單，大陸有14億人口，並且年輕一代都接受過教育，還擁有全世界最多的工程師，人力資源決定大陸的科技將更加強大，中國還擁有完備的工業能力，政府又擁有全世界最強大的組織動員能力，時間越往後，中國國力就更加強大，軍力一定也更加強大，台灣呢？美國可能為了台灣與中國全面開戰嗎？這個可能性為0，因為中美兩國的體量太大，並且擁有核彈，除非兩國精英完全失了智，否則一旦開戰就不是三戰，而可能是世界毀滅之戰。對美國來說，放棄台灣，最壞的結果不過是美國徹底退出亞洲，也不過是回到當年冷戰時期的格局，把蘇聯換成中國而已，如果是以台灣為戰場打代理人戰爭，那對台灣人來說更慘！戰爭的後果看看中東各國就知道。有些台獨年輕人抱著誓死“衛國”的念頭，這是愚蠢的勇敢，在游戲裡把這種裝備等級全面落後卻依舊上去和對手剛正面的行為稱為“送人頭”，多一個這種人，不過就是多給對手送一個頭。台灣的政黨在中美兩國之間搖擺，國民黨希望通過不挑舋讓大陸一直保持現狀，民進黨則更激進，希望全放在美國，無論哪個黨在我看來都在拖時間，等待一個機會能夠讓台灣獨立，這是妄想，無論台灣人在思想上和大陸有多遠，但在地理上，台灣離大陸很近，而離美國很遠，依靠美國，和等死沒有區別。中國現在的目標是中華民族偉大復興，台灣因為帝國主義侵略而割讓日本，後因為國共內戰分治，一個國土都沒有統一的民族，談不上復興，台灣問題不僅是領土問題，還是中國人的民族恥辱，民族恥辱不抹平，說什麼民族復興？所以台獨不要再扯什麼雖然大家文化同源，但台灣是台灣，中國是中國，大陸應該尊重台灣是一個獨立主權國家的屁話！抗日戰爭時期，中國軍民傷亡3500余萬，死亡1800余萬，1949年中國終於成為了一個主權獨立的國家，經過兩代人吃糠咽菜艱苦奮斗，中國從一個連火柴都造不出來的國家成為了世界第二大經濟體，現在你和我說要我們尊重因受帝國主義日本侵略而割讓出去的台灣獨立建國？為抗擊侵略犧牲的數百萬士兵，為革命犧牲的無數生命，為中國騰飛艱苦奮斗的兩代人，他們或主觀或客觀，為的就是中華民族復興，所以台灣必須統一！哪怕2300萬台灣人全是獨派，但14億大陸人全是統派！台灣不統一，中國再強大，念頭也不通達。,0,63
一點點陸客不來堂堂一個航空公司就要當祭品台灣既然這麼迫切需要中國大陸還不乖乖和平統一還給美國做走狗美國擊殺中興華為用香港台灣新疆做祭品中國非但沒有破產反而更富強美國卻把自己搞死了,-1,64
"【林北教訓某1450】@HSlEN一CHANGSU你就是1450，否則為何以人論事而不敢就事論事?隱私權出自西方美國，他們的觀念作法是這一權利的指標，臺灣當然該跟著用，不能因是韓國瑜就不適用，而拿到臺鐵車站作人臉辯識就又適用，這根本說不通，根本是在搞法西斯嘛!蔡英文虧她還在歐美學過法律，她要遵守隱私權法，以事論事就應該替韓國瑜講話，制止社會大眾繼續揭韓隱私，可惜蔡學法不精，錯過一次表現高度的機會，反成欠缺氣度，帶頭毀法的罪魁禍首，這也是庶民百姓瞧不起她，認為她無能沒有論文沒有博士學位的原因，一個國家領導人不能光想到自己，以善小而不為，若替韓講話，看似有害自己，但她沒有想到人民大眾會因她這句話，擔心自己的隱私權同樣會被民進黨破壞而討厭蔡英文.最後告訴你，民進黨凡事黑韓化，不就事論事，早以不被人民信任，敗選已成定局，等韓國瑜當了總統，希望你繼續討厭他，那時我會站到討厭韓國瑜陣營，因為林北是終身反對派，誰執政就反對誰，但一定就事論事對事不對人，這樣我們的社會國家才會因我們這種終身反對派的吹毛求疵變的較好，個人隱私才會得到真正的保護,懂嗎?孩子!世間真理隻有一個，誰造福了人民百姓，誰就成王，誰傷害了人民百姓誰就是寇，在維護個人隱私權上，蔡英文就是不折不扣的匪寇啊!",0,65
@ThisNoName有DF41就這一點老美就不敢介入了，美帝資本主義的核心是一心一意為自己利益，台灣這塊地對他們而言有什麼利益可言？就每年那些軍火費？你覺得這點老美會為呆灣冒吃蘑菇的風險與大陸直接一戰？想想就不可能,-1,66
我們沒有簽過的紙就是廁所的屎，當年南海仲裁怎麼了，我們又不承認，美國兩個航母戰斗群都過來想要較量一番，我們也不虛啊，菲律賓倒是虛了，不是到最後也不了了之了？,-1,67
美軍已是地球上不同層次的高階軍種，精準打擊且讓敵人看不到才是最強的部隊。MaytheforcebewithAmerica.支持美國！！,1,68
英語傳到北美成了美語，閩南語來到台灣後成了台語並沒有什麼奇怪。重點是台語包含了普通話，閩南語，客語，各族原住民語。台語非閩南語，閩南語是台語（白馬非馬）！,0,69
"@藤原靜子蔡英文是務實的""中共代理人""與匪鬥爭的方法隻曉得不是舔共就是衝撞用衝撞老共來護主權騙選票被踢出國際組織比賽斷交國增加主權越護越少投蔡英文就是投共台灣有主權有軍隊有台灣海峽有美國不武統會失去自由民主嗎?若失去大陸市場經濟會變窮你不怕嗎?東廠依舊在肥貓處處生檯面上吃香喝辣的人能不黑韓到見骨嗎?未來願意繼續這樣，那就別投韓國瑜，如果認為無論如何都要改一下，那就衹能投韓國瑜",0,70
"國民黨30萬黨員芝麻大小黨還和共產黨9000萬黨員泱泱大黨搞恐怖平衡,兩黨交往同樣是實力原則，你KMT能去和美國共和黨談對等嗎？笑死個人！",0,71
韓式學川普差得很呢！川普不貪財，把薪水捐出，兌現承諾，讓美國經濟復甦，道瓊股市上週成最高亮點⋯⋯,1,72
"本蔡女皇重申""本女皇絕對聽從美國.日本老大哥的話，即使台灣成為庫德族第二絕對義無反顧""",-1,73
美國人支持(沒論文的假博士)是<世界的典範>,-1,74
"🔴""如果與某個國家緊密相連而發覺這個國家並不理解法治，不理解私有財產，不理解個人自由，不理解你的國家主權，那麼你就必須與它切割，這也將是唯一能自保的方法，所以如果你擁抱中國，你將一定會失敗!""--美國羅伯特•斯伯丁將軍(RobertSpalding)這也恰恰就如《論語》中所說的一句至理名言:----道不同不相為謀![https://youtu.be/nN5TOSJuljU]",1,75
ChenJOY貿易戰兩敗俱傷的誰都知道！是川普不敢繼續了！你有點頭腦好吧？美國150家企業集體要求繼續向華為供貨，因為華為是他們主要客戶！高通60%的市場份額是華為！貿易戰致美國農民大豆賣不出去！嚴重打擊川普選票！川普急了！😂😂人人都知道的事情隻有你個傻子不懂！😂😂,-1,76
知道美國的長臂管轄多惡心了吧。美國在加拿大抓孟晚舟，跟中國要別人刪外網言論，性質一樣，都是長臂管轄。,-1,77
台灣的銀行金融都被美國監管了，還在自娛自樂，來自美國的數據顯示就不會是美國自己匯兌進來的？香港的地下資金從哪裡來為什麼美國不批示？可笑，可悲,-1,78
@田意情簡單的來講，中國-國民黨出賣在台灣的政治影響力來換取對岸的利益。你也許要問，不分區立委對中國有什麼政治利益？吼，這個利益可龐大咯。國防外交委員會可以審查任何國防外交的軍事秘密和秘密閉門預算。培養有1000個共諜都進不去軍事基地，培養一個吳斯懷就可以知道全台灣的飛彈部署，軍事秘密，甚至美國在台海的部署。。。,1,79
美國的核彈頭難道比其他國家少嗎你們講的太多廢話了沒辦法對於台灣來說是很恐怖的應該讓美國給你帶來百核彈頭那也對哦中國可以給點伊朗核彈頭,-1,80
郭文貴不是早就說了嗎，凡是幫中共作惡的都會受美國的毀滅性打擊。,1,81
@伍壕我的答案都在文字間了。多看兩遍。納粹也是民主選出來的。是符合多數人民支持的一小撮精英利益集團的結果。近代世界任何一場戰爭不分地理位置都是受到利益集團控制的。所以從古至今世界各國的8種民主制度都是騙人的。因為他們隻有一個又一個的人。而從來沒有人看到過人民。而民主本來就是共產主義的產物，蘇聯解體後被美國利益團體偷換概念用來打擊共產主義。第三次世界大戰早已開打。隻不過不是以熱戰的方式呈現。NEDNGO領導下是代價最小的。而且這個世界最厲害的根本不是美國。分析數據。和參考，預估看不見的數據。縱觀世界歷史和我在國外多年的生活經驗得以驗證。結論是珍愛生命遠離真相。所以黃種人要先不分國籍。要感化懷柔。互相融合。不然最終會被盎格魯撒克遜人消滅。而亞洲人自強並且以侵略外國次數少綜合國力強大的國家為主體。科技爆炸後亞洲一日圈可以形成。,-1,82
不用給美國用質量做借口了，那是因為美國海軍沒錢了,-1,83
@BiNiu華為可以獲得中國所有的資源，我敢說美國沒有一家公司是華為的對手，以後全部會被華為擊敗！,-1,84
感覺你們看到中美戰爭很欣喜的樣子,0,85
哈哈，豬鼻菜當選，如同川普當選一樣，對中國不一定是壞事，對於中國的貴人，一定要支持一把。,-1,86
美國、英國、德國、加拿大..........，哪個民主國家不是這樣？哪個民主國家的政黨不是總被罵得狗血淋頭？隻有獨裁國家才會對政黨歌功頌德。,1,87
嗯，美國爸爸的是冥主自由病毒，沒事,-1,88
女議員不要講太多了，小心美國找你麻煩，有些事情心裡清楚就行了,-1,89
美國人是無辜的啊(我指的是老百姓)，但伊朗要讓美國政客屍橫遍野我沒意見～,-1,90
如此夸張的描術美國的武器，是否你們的軍事截圖有真實的分析。有如美國的軍事專才。,-1,91
從歷史上來說，國民黨統治中國也有幾十年，當時的國內環境確實不好，我們中國當時確實落後，國民黨靠美國，共產黨靠蘇聯。在國民黨當政的那麼多年一直都依靠美國，而共產黨當政後迅速脫離了蘇聯的關系，當時的中國一貧如洗，那又怎樣？我們中國人靠自己的勤勞雙手終於一步步強大了起來，而國民黨統治下的台灣呢？有多少台灣人還是覺得美國人好？堂堂正正做一個中國人不好嗎？我們中國人在歷史上多少次站在了世界的頂端？我們為什麼要靠美國人？當時隨國民黨去台灣的很多有識之士，那些小格局的寧願自己是美國人奴才的台灣人真的對得起你們的祖先嗎？告訴你們對於多數中國人來說兩岸關系怎樣他們不在乎，他們正在用勤勞的雙手走著中華民族的偉大復興之路。隻是大多人覺得台灣是一座跟我們血脈相連的孤島，有很多人的親人都在台灣，他們隻是想和台灣血脈相連起來，難道那些台灣人不想嗎？,-1,92
國民黨執政兩岸關系緩和，你台灣的生活方式還可以維持現狀得久一些。反觀台獨民進黨執政，不斷的搞台獨刺激共產黨，說不定什麼時候解放軍就武統台灣了。如果現在還有人認為解放軍打不贏國軍，或者說美國會出兵幫台灣，我隻能送出四個字“一國兩智”。選舉結束了，共產黨會在軍事及外交對台灣施壓。,-1,93
